Functional,Actors Changing Rooms
,Actors Lounge
,Actors Restaurant
,Bar / Foyer
,Bar / Kitchen
,Bicycle Parking
,Café / Restaurant
,car park
,Cloakroom
,Commercial space
,Common Room
,Entrance Hall
,Exhibition space
,Foyer
,Foyer Mezzanine
,Foyer Top Level
,Hotel lobby
,Hotel Loung Restaurant & cuisine
,"Hotel Lounge, Restaurant & cuisine"
,Hotel room
,Kitchen Restaurant Panoramic
,Lobby
,Main stage
,Museum Lobby
,Museum Reception
,Museum space - Secure Zone
,Museum Workshop
,Office reception
,Office space
,Parking
,Pièce
,Private residential space
,Rehearsal stage
,Rehearsal studios
,s
,Sanitary space
,Scenery workshop
,Side Stage
,Spectator 700 seats
,
Circulation,Circulation spaces
,Vegetation
,Elevator
,Technical Space
,
Service,Kitchen
,Toilets
,Service Access
